Text,Topic,Questions
"Highest Response Ratio Next (HRRN) Scheduling:Highest Response Ratio Next (HRNN) is one of the most optimal scheduling algorithms. This is a non-preemptive algorithm in which, the scheduling is done on the basis of an extra parameter called Response Ratio. A Response Ratio is calculated for each of the available jobs and the Job with the highest response ratio is given priority over the others. Response Ratio is calculated by the given formula. Where,If we look at the formula, we will notice that the job with the shorter burst time will be given priority but it is also including an extra factor called waiting time. Since,Hence,",os hrrn scheduling," this algorithm is considered to be one of the most optimal scheduling algorithms.

Easy Questions:
1. What is HRRN Scheduling?
2. What is the Response Ratio?
3. What is the formula for calculating Response Ratio?

Medium Questions:
1. What is the difference between HRRN and preemptive scheduling?
2. What is the advantage of HRRN Scheduling?
3. How does HRRN Scheduling prioritize jobs?

Hard Questions:
1. How does HRRN Scheduling handle jobs with the same Response Ratio?
2. How does HRRN Scheduling handle jobs with the same burst time?
3. How does HRRN Scheduling handle jobs with the same waiting time?

Multiple Choice Questions:
1. What is the main advantage of HRRN Scheduling?
A. It is a preemptive scheduling algorithm
B. It is a non-preemptive scheduling algorithm
C. It is an optimal scheduling algorithm
D. It is a fast scheduling algorithm

2. What is the formula for calculating Response Ratio?
A. Response Ratio = Burst Time / Waiting Time
B. Response Ratio = Waiting Time / Burst Time
C. Response Ratio = Burst Time + Waiting Time
D. Response Ratio = Waiting Time - Burst Time

3. How does HRRN Scheduling prioritize jobs?
A. By burst time
B. By waiting time
C. By Response Ratio
D. By priority"
"HRNN Example:In the following example, there are 5 processes given. Their arrival time and Burst Time are given in the table.At time 0, The Process P0 arrives with the CPU burst time of 3 units. Since it is the only process arrived till now hence this will get scheduled immediately.P0 is executed for 3 units, meanwhile, only one process P1 arrives at time 3. This will get scheduled immediately since the OS doesn't have a choice.P1 is executed for 5 units. Meanwhile, all the processes get available. We have to calculate the Response Ratio for all the remaining jobs.Since, the Response ratio of P3 is higher hence P3 will be scheduled first.P3 is scheduled for 1 unit. The next available processes are P2 and P4. Let's calculate their Response ratio.The response ratio of P2 is higher hence P2 will be scheduled.Now, the only available process is P4 with the burst time of 2 units, since there is no other process available hence this will be scheduled.                     Average Waiting Time = 13/5",os hrrn example," = 2.6

Easy Questions:
1. What is the average waiting time?
2. How many processes are given in the example?
3. What is the CPU burst time of Process P0?

Medium Questions:
1. What is the Response Ratio of Process P3?
2. What is the Response Ratio of Process P2?
3. What is the Burst Time of Process P4?

Hard Questions:
1. What is the total time taken to execute all the processes?
2. What is the total number of processes that have arrived before P3?
3. What is the total number of processes that have arrived before P4?

Multiple Choice Questions:
1. What is the Response Ratio of Process P2?
a. 0.5
b. 0.75
c. 1.0
d. 1.5

2. What is the Burst Time of Process P4?
a. 1 unit
b. 2 units
c. 3 units
d. 4 units

3. What is the total time taken to execute all the processes?
a. 8 units
b. 9 units
c. 10 units
d. 11 units"
"Priority Scheduling Algorithm in OS (Operating System):In Priority scheduling, there is a priority number assigned to each process. In some systems, the lower the number, the higher the priority. While, in the others, the higher the number, the higher will be the priority. The Process with the higher priority among the available processes is given the CPU. There are two types of priority scheduling algorithm exists. One is Preemptive priority scheduling while the other is Non Preemptive Priority scheduling.The priority number assigned to each of the process may or may not vary. If the priority number doesn't change itself throughout the process, it is called static priority, while if it keeps changing itself at the regular intervals, it is called dynamic priority.",os priority scheduling,"

Easy Questions:
1. What is Priority Scheduling Algorithm?
2. What are the two types of Priority Scheduling Algorithm?
3. What is the difference between static and dynamic priority?

Medium Questions:
1. What is the purpose of assigning priority numbers to processes?
2. How does the CPU decide which process to execute?
3. What are the advantages of using Priority Scheduling Algorithm?

Hard Questions:
1. How does the Priority Scheduling Algorithm handle processes with same priority?
2. How does the Priority Scheduling Algorithm handle processes with different priority?
3. How does the Priority Scheduling Algorithm handle processes with changing priority?

Multiple Choice Questions:
1. What is the purpose of assigning priority numbers to processes?
A. To decide which process to execute
B. To determine the order of execution
C. To assign resources to processes
D. To determine the priority of processes

2. What is the difference between static and dynamic priority?
A. Static priority is fixed while dynamic priority changes
B. Static priority changes while dynamic priority is fixed
C. Static priority is higher than dynamic priority
D. Dynamic priority is higher than static priority

3. How does the CPU decide which process to execute?
A. By the priority number assigned to each process
B. By the amount of resources assigned to each process
C. By the order of execution
D. By the amount of time each process has been waiting"
"Non Preemptive Priority Scheduling:In the Non Preemptive Priority scheduling, The Processes are scheduled according to the priority number assigned to them. Once the process gets scheduled, it will run till the completion. Generally, the lower the priority number, the higher is the priority of the process. The people might get confused with the priority numbers, hence in the GATE, there clearly mention which one is the highest priority and which one is the lowest one.Example:In the Example, there are 7 processes P1, P2, P3, P4, P5, P6 and P7. Their priorities, Arrival Time and burst time are given in the table.We can prepare the Gantt chart according to the Non Preemptive priority scheduling.The Process P1 arrives at time 0 with the burst time of 3 units and the priority number 2. Since No other process has arrived till now hence the OS will schedule it immediately.Meanwhile the execution of P1, two more Processes P2 and P3 are arrived. Since the priority of P3 is 3 hence the CPU will execute P3 over P2. Meanwhile the execution of P3, All the processes get available in the ready queue. The Process with the lowest priority number will be given the priority. Since P6 has priority number assigned as 4 hence it will be executed just after P3.After P6, P4 has the least priority number among the available processes; it will get executed for the whole burst time. Since all the jobs are available in the ready queue hence All the Jobs will get executed according to their priorities. If two jobs have similar priority number assigned to them, the one with the least arrival time will be executed. From the GANTT Chart prepared, we can determine the completion time of every process. The turnaround time, waiting time and response time will be determined.                       Avg Waiting Time = (0+11+2+7+12+2+18)/7 = 52/7 units",os non preemptive priority scheduling,"

Easy Questions:
1. What is Non Preemptive Priority Scheduling?
2. What is the purpose of assigning priority numbers to processes?
3. What is the average waiting time in the example given?

Medium Questions:
1. How is the Gantt chart prepared according to the Non Preemptive Priority Scheduling?
2. What is the turnaround time, waiting time and response time?
3. How is the process with the lowest priority number chosen?

Hard Questions:
1. How does the CPU decide which process to execute when two processes have the same priority number?
2. How does the CPU decide which process to execute when two processes have different priority numbers?
3. How does the CPU decide which process to execute when multiple processes arrive at the same time?

Multiple Choice Questions:
1. What is the average waiting time in the example given?
a. 0 units
b. 11 units
c. 2 units
d. 52/7 units

2. How is the process with the lowest priority number chosen?
a. By the CPU
b. By the OS
c. By the user
d. By the GANTT Chart

3. How does the CPU decide which process to execute when two processes have the same priority number?
a. By the CPU
b. By the OS
c. By the user
d. By the arrival time"
"Preemptive Priority Scheduling:In Preemptive Priority Scheduling, at the time of arrival of a process in the ready queue, its Priority is compared with the priority of the other processes present in the ready queue as well as with the one which is being executed by the CPU at that point of time. The One with the highest priority among all the available processes will be given the CPU next. The difference between preemptive priority scheduling and non preemptive priority scheduling is that, in the preemptive priority scheduling, the job which is being executed can be stopped at the arrival of a higher priority job. Once all the jobs get available in the ready queue, the algorithm will behave as non-preemptive priority scheduling, which means the job scheduled will run till the completion and no preemption will be done.Example:There are 7 processes P1, P2, P3, P4, P5, P6 and P7 given. Their respective priorities, Arrival Times and Burst times are given in the table below.GANTT chart Preparation:At time 0, P1 arrives with the burst time of 1 units and priority 2. Since no other process is available hence this will be scheduled till next job arrives or its completion (whichever is lesser).At time 1, P2 arrives. P1 has completed its execution and no other process is available at this time hence the Operating system has to schedule it regardless of the priority assigned to it.The Next process P3 arrives at time unit 2, the priority of P3 is higher to P2. Hence the execution of P2 will be stopped and P3 will be scheduled on the CPU.During the execution of P3, three more processes P4, P5 and P6 becomes available. Since, all these three have the priority lower to the process in execution so PS can't preempt the process. P3 will complete its execution and then P5 will be scheduled with the priority highest among the available processes.Meanwhile the execution of P5, all the processes got available in the ready queue. At this point, the algorithm will start behaving as Non Preemptive Priority Scheduling. Hence now, once all the processes get available in the ready queue, the OS just took the process with the highest priority and execute that process till completion. In this case, P4 will be scheduled and will be executed till the completion.Since P4 is completed, the other process with the highest priority available in the ready queue is P2. Hence P2 will be scheduled next.P2 is given the CPU till the completion. Since its remaining burst time is 6 units hence P7 will be scheduled after this.The only remaining process is P6 with the least priority, the Operating System has no choice unless of executing it. This will be executed at the last.The Completion Time of each process is determined with the help of GANTT chart. The turnaround time and the waiting time can be calculated by the following formula.                    Avg Waiting Time = (0+14+0+7+1+25+16)/7 = 63/7 = 9 units",os preemptive priority scheduling,"

Easy Questions:
1. What is Preemptive Priority Scheduling?
2. What is the difference between preemptive priority scheduling and non preemptive priority scheduling?
3. What is the formula for calculating the average waiting time?

Medium Questions:
1. How is the completion time of each process determined?
2. What is the turnaround time?
3. What is the priority of the process P3?

Hard Questions:
1. How does the algorithm behave when all the processes are available in the ready queue?
2. How does the Operating System decide which process to execute next?
3. What is the total number of processes given in the example?

Multiple Choice Questions:
1. What is the priority of the process P3?
A. 1
B. 2
C. 3
D. 4

2. How is the completion time of each process determined?
A. By GANTT chart
B. By the formula
C. By the priority
D. By the arrival time

3. What is the formula for calculating the average waiting time?
A. (0+14+0+7+1+25+16)/7
B. (0+14+0+7+1+25+16)/6
C. (0+14+0+7+1+25+16)/8
D. (0+14+0+7+1+25+16)/9"
"SRTF with Processes contains CPU and IO Time:Till now, we were considering the CPU bound jobs only. However, the process might need some IO operation or some resource to complete its execution. In this Example, we are considering, the IO bound processes. In the Example, there are four jobs with process ID P1, P2, P3 and P4 are available. Their Arrival Time, and the CPU Burst time are given in the table below. GANTT Chart Preparation:At time 0, the process P1 and P2 arrives. Since the algorithm we are using is SRTF hence, the process with the shortest burst time will be scheduled on the CPU. In this case, it is P2.From time 0 to time 1, P2 will be in running state.P2 also needs some IO time in order to complete its execution. After 1 unit of execution, P2 will change its state from running to waiting. The processor becomes free to execute other jobs. Since No other process is available at this point of time other than P1 so P1 will get executed.The following diagram illustrates the processes and states at Time 1. The process P2 went to waiting state and the CPU becomes idol at this time. From time 1 to 3, since P2 is being in waiting state, and no other process is available in ready queue, hence the only available process P1 will be executed in this period of time.At time 3, the process P3 arrived with the total CPU burst time of 5 units. Since the remaining burst time of P1 is lesser then P3 hence CPU will continue its execution.Hence, P1 will remain in the running state from time 3 to time 4.Since P1 is an IO bound process. At time unit 4, it will change its state from running to waiting. Processor becomes free for the execution of other jobs. Since P2 also becomes available at time 4 because it has completed the IO operation and now it needs another 1 unit of CPU burst time. P3 is also available and requires 5 units of total CPU burst time.The process with the least remaining CPU burst time among the available processes will get executed. In our case, such process is P2 which requires 1 unit of burst time hence it will be given the CPU.At time 5, P2 is finished. P1 is still in waiting state. At this point of time, the only available process is P3, hence it will be given the CPU.From Time 5 to time 6, P3 will be in the running state; meanwhile, P1 will still be in waiting state.At time 6, the Process P4 arrives in the ready queue. The P1 has also done with the IO and becomes available for the execution. P3 is not yet finished and still needs another 2 unit of CPU burst time.From time 6 to time 8, the reaming CPU burst time of Process P3 is least among the available processes, hence P3 will be given the CPU.P3 needs some IO operation in order to complete its execution. At time 8, P3 will change its state from running to waiting. The CPU becomes free to execute the other processes. Process P4 and P1 are available out of which, the process with the least remaining burst time will get executed.From time 8 to time 9, the process P1 will get executed.At time 9, the IO of process P3 is finished and it will now be available in the ready state along with P4 which is already waiting there for its turn. In order to complete its execution, it needs another 2 unit of burst time. P1 is in running state at this point of the time while no process is present in the waiting state.from time 9 to 10 , the process P1 will get executed since its remaining CPU burst time is lesser then the processes P4 and P3 available in the ready queue.At time 10, execution of P1 is finished, and now the CPU becomes idol. The process with the lesser CPU burst time among the ready processes will get the CPU turn.From time 10 to 12, the process P3 will get executed till its completion because of the fact that its remaining CPU burst time is the between the two available processes. It needs 2 units of more CPU burst time, since No other process will be arrived in the ready state hence No preemption will be done and it will be executed till the completion.At time 12, the process P3 will get completed, since there is only one process P4 available in the ready state hence P4 will be given the CPU. P4 needs 5 units of CPU burst time before IO, hence it will be executed till time 17 (for 5 units) and then it will change its state from running to waiting.At time 17, the Process P4 changes its state from running to waiting. Since this is the only process in the system hence the CPU will remain idol until P4 becomes available again.At time 21, P4 will be done with the IO operation and becomes available in the ready state.From time 21, the process P4 will get scheduled. Since No other process is in ready queue hence the processor don't have any choice. It will be executed till completion.Final Gantt chart::               Average waiting Time = (5+3+4+10)/4 = 22/4 units",os srtf with processes contains cpu and io time," = 5.5 units

Easy Questions:
1. What algorithm is being used in the example?
2. What is the total CPU burst time of process P3?
3. What is the average waiting time?

Medium Questions:
1. What is the state of the processor at time 0?
2. What is the state of the processor at time 4?
3. What is the state of the processor at time 10?

Hard Questions:
1. What is the total CPU burst time of process P1?
2. What is the total CPU burst time of process P4?
3. What is the total CPU burst time of process P2?

Multiple Choice Questions:
1. At time 0, what is the state of the processor?
A. Running
B. Waiting
C. Idol
D. None of the above

2. At time 4, what is the state of the processor?
A. Running
B. Waiting
C. Idol
D. None of the above

3. At time 10, what is the state of the processor?
A. Running
B. Waiting
C. Idol
D. None of the above"
"Process Synchronization in OS (Operating System):When two or more process cooperates with each other, their order of execution must be preserved otherwise there can be conflicts in their execution and inappropriate outputs can be produced. A cooperative process is the one which can affect the execution of other process or can be affected by the execution of other process. Such processes need to be synchronized so that their order of execution can be guaranteed. The procedure involved in preserving the appropriate order of execution of cooperative processes is known as Process Synchronization. There are various synchronization mechanisms that are used to synchronize the processes. Race Condition:A Race Condition typically occurs when two or more threads try to read, write and possibly make the decisions based on the memory that they are accessing concurrently.Critical Section:The regions of a program that try to access shared resources and may cause race conditions are called critical section. To avoid race condition among the processes, we need to assure that only one process at a time can execute within the critical section. ",os process synchronization introduction,"

Easy Questions:
1. What is process synchronization?
2. What is a cooperative process?
3. What is a race condition?

Medium Questions:
1. What are the various synchronization mechanisms used to synchronize processes?
2. What is a critical section?
3. How can race conditions be avoided?

Hard Questions:
1. What are the different types of synchronization techniques used in operating systems?
2. How can the critical section problem be solved?
3. What are the different methods of process synchronization?

Multiple Choice Questions:
1. What is the procedure involved in preserving the appropriate order of execution of cooperative processes?
A. Process Synchronization
B. Race Condition
C. Critical Section
D. Synchronization Mechanisms

Answer: A. Process Synchronization"
"Critical Section Problem in OS (Operating System):Critical Section is the part of a program which tries to access shared resources. That resource may be any resource in a computer like a memory location, Data structure, CPU or any IO device.The critical section cannot be executed by more than one process at the same time; operating system faces the difficulties in allowing and disallowing the processes from entering the critical section.The critical section problem is used to design a set of protocols which can ensure that the Race condition among the processes will never arise. In order to synchronize the cooperative processes, our main task is to solve the critical section problem. We need to provide a solution in such a way that the following conditions can be satisfied.Requirements of Synchronization mechanisms:Primary:Our solution must provide mutual exclusion. By Mutual Exclusion, we mean that if one process is executing inside critical section then the other process must not enter in the critical section.Progress means that if one process doesn't need to execute into critical section then it should not stop other processes to get into the critical section.Secondary:We should be able to predict the waiting time for every process to get into the critical section. The process must not be endlessly waiting for getting into the critical section.Our mechanism must be architectural natural. It means that if our solution is working fine on one architecture then it should also run on the other ones as well.",os critical section problem,"

Easy Questions:
1. What is a Critical Section?
2. What is the purpose of Critical Section Problem?
3. What are the requirements of synchronization mechanisms?

Medium Questions:
1. What is the Race Condition?
2. How can we ensure that Race Condition will never arise?
3. What is the main task to synchronize the cooperative processes?

Hard Questions:
1. How can we provide mutual exclusion in our solution?
2. How can we predict the waiting time for every process to get into the Critical Section?
3. How can we make sure that our solution is architectural natural?

Multiple Choice Questions:
1. What is the purpose of Critical Section Problem?
a. To access shared resources
b. To design a set of protocols
c. To synchronize the cooperative processes
d. To provide mutual exclusion

Answer: b. To design a set of protocols

2. What is the main task to synchronize the cooperative processes?
a. To access shared resources
b. To design a set of protocols
c. To solve the Critical Section Problem
d. To provide mutual exclusion

Answer: c. To solve the Critical Section Problem

3. How can we make sure that our solution is architectural natural?
a. By providing mutual exclusion
b. By predicting the waiting time
c. By ensuring that Race Condition will never arise
d. By running the solution on different architectures

Answer: d. By running the solution on different architectures"
"Lock Variable:This is the simplest synchronization mechanism. This is a Software Mechanism implemented in User mode. This is a busy waiting solution which can be used for more than two processes. In this mechanism, a Lock variable lockis used. Two values of lock can be possible, either 0 or 1. Lock value 0 means that the critical section is vacant while the lock value 1 means that it is occupied. A process which wants to get into the critical section first checks the value of the lock variable. If it is 0 then it sets the value of lock as 1 and enters into the critical section, otherwise it waits. The pseudo code of the mechanism looks like following.If we look at the Pseudo Code, we find that there are three sections in the code. Entry Section, Critical Section and the exit section. Initially the value of lock variable is 0. The process which needs to get into the critical section, enters into the entry section and checks the condition provided in the while loop.The process will wait infinitely until the value of lock is 1 (that is implied by while loop). Since, at the very first time critical section is vacant hence the process will enter the critical section by setting the lock variable as 1.When the process exits from the critical section, then in the exit section, it reassigns the value of lock as 0. Every Synchronization mechanism is judged on the basis of four conditions.Out of the four parameters, Mutual Exclusion and Progress must be provided by any solution. Let?s analyze this mechanism on the basis of the above mentioned conditions.Mutual Exclusion:The lock variable mechanism doesn't provide Mutual Exclusion in some of the cases. This can be better described by looking at the pseudo code by the Operating System point of view I.E. Assembly code of the program. Let's convert the Code into the assembly language.Let us consider that we have two processes P1 and P2. The process P1 wants to execute its critical section. P1 gets into the entry section. Since the value of lock is 0 hence P1 changes its value from 0 to 1 and enters into the critical section.Meanwhile, P1 is preempted by the CPU and P2 gets scheduled. Now there is no other process in the critical section and the value of lock variable is 0. P2 also wants to execute its critical section. It enters into the critical section by setting the lock variable to 1.Now, CPU changes P1's state from waiting to running. P1 is yet to finish its critical section. P1 has already checked the value of lock variable and remembers that its value was 0 when it previously checked it. Hence, it also enters into the critical section without checking the updated value of lock variable. Now, we got two processes in the critical section. According to the condition of mutual exclusion, morethan one process in the critical section must not be present at the same time. Hence, the lock variable mechanism doesn't guarantee the mutual exclusion. The problem with the lock variable mechanism is that, at the same time, more than one process can see the vacant tag and more than one process can enter in the critical section. Hence, the lock variable doesn't provide the mutual exclusion that's why it cannot be used in general. Since, this method is failed at the basic step; hence, there is no need to talk about the other conditions to be fulfilled.",os lock variable mechanism,"

Easy Questions:
1. What is a Lock Variable?
2. What is the value of the Lock Variable when the Critical Section is vacant?
3. What is the purpose of the Entry Section in the Pseudo Code?

Medium Questions:
1. What are the four conditions used to judge a Synchronization Mechanism?
2. What is the problem with the Lock Variable Mechanism?
3. What is the assembly code of the program?

Hard Questions:
1. How does the Lock Variable Mechanism fail to provide Mutual Exclusion?
2. What is the difference between the Lock Variable Mechanism and other Synchronization Mechanisms?
3. How can the Lock Variable Mechanism be improved to provide Mutual Exclusion?

Multiple Choice Questions:
1. What is the value of the Lock Variable when the Critical Section is vacant?
A. 0
B. 1
C. 2
D. 3

2. What is the problem with the Lock Variable Mechanism?
A. It does not provide Mutual Exclusion
B. It does not provide Progress
C. It does not provide Atomicity
D. It does not provide Fairness

3. What is the assembly code of the program?
A. Lock Variable
B. Critical Section
C. Entry Section
D. Exit Section"
"Test Set Lock Mechanism:Modification in the assembly code:In lock variable mechanism, Sometimes Process reads the old value of lock variable and enters the critical section. Due to this reason, more than one process might get into critical section. However, the code shown in the part one of the following section can be replaced with the code shown in the part two. This doesn't affect the algorithm but, by doing this, we can manage to provide the mutual exclusion to some extent but not completely.In the updated version of code, the value of Lock is loaded into the local register R0 and then value of lock is set to 1.However, in step 3, the previous value of lock (that is now stored into R0) is compared with 0. if this is 0 then the process will simply enter into the critical section otherwise will wait by executing continuously in the loop.The benefit of setting the lock immediately to 1 by the process itself is that, now the process which enters into the critical section carries the updated value of lock variable that is 1.In the case when it gets preempted and scheduled again then also it will not enter the critical section regardless of the current value of the lock variable as it already knows what the updated value of lock variable is.TSL Instruction:However, the solution provided in the above segment provides mutual exclusion to some extent but it doesn't make sure that the mutual exclusion will always be there. There is a possibility of having more than one process in the critical section. What if the process gets preempted just after executing the first instruction of the assembly code written in section 2? In that case, it will carry the old value of lock variable with it and it will enter into the critical section regardless of knowing the current value of lock variable. This may make the two processes present in the critical section at the same time.To get rid of this problem, we have to make sure that the preemption must not take place just after loading the previous value of lock variable and before setting it to 1. The problem can be solved if we can be able to merge the first two instructions. In order to address the problem, the operating system provides a special instruction called Test Set Lock (TSL) instruction which simply loads the value of lock variable into the local register R0 and sets it to 1 simultaneously The process which executes the TSL first will enter into the critical section and no other process after that can enter until the first process comes out. No process can execute the critical section even in the case of preemption of the first process.The assembly code of the solution will look like following.Let's examine TSL on the basis of the four conditions.Mutual Exclusion is guaranteed in TSL mechanism since a process can never be preempted just before setting the lock variable. Only one process can see the lock variable as 0 at a particular time and that's why, the mutual exclusion is guaranteed. According to the definition of the progress, a process which doesn't want to enter in the critical section should not stop other processes to get into it. In TSL mechanism, a process will execute the TSL instruction only when it wants to get into the critical section. The value of the lock will always be 0 if no process doesn't want to enter into the critical section hence the progress is always guaranteed in TSL.Bounded Waiting is not guaranteed in TSL. Some process might not get a chance for so long. We cannot predict for a process that it will definitely get a chance to enter in critical section after a certain time. TSL doesn't provide Architectural Neutrality. It depends on the hardware platform. The TSL instruction is provided by the operating system. Some platforms might not provide that. Hence it is not Architectural natural. ",os tsl mechanism,"

Easy Questions:
1. What is the purpose of the Test Set Lock (TSL) instruction?
2. What is the benefit of setting the lock immediately to 1 by the process itself?
3. What is the definition of progress?

Medium Questions:
1. What is the difference between the code shown in part one and part two of the following section?
2. What is the problem that the TSL instruction is designed to address?
3. How does the TSL mechanism guarantee mutual exclusion?

Hard Questions:
1. What are the implications of the TSL instruction on the four conditions of mutual exclusion?
2. How does the TSL instruction provide bounded waiting?
3. How does the TSL instruction provide architectural neutrality?

Multiple Choice Questions:
1. What is the purpose of the Test Set Lock (TSL) instruction?
A. To provide mutual exclusion
B. To provide bounded waiting
C. To provide architectural neutrality
D. To provide a way to enter the critical section

Answer: D. To provide a way to enter the critical section

2. What is the benefit of setting the lock immediately to 1 by the process itself?
A. It ensures mutual exclusion
B. It ensures bounded waiting
C. It ensures architectural neutrality
D. It ensures the process carries the updated value of the lock variable

Answer: D. It ensures the process carries the updated value of the lock variable

3. How does the TSL mechanism guarantee mutual exclusion?
A. By ensuring the process carries the updated value of the lock variable
B. By ensuring the preemption does not take place just after loading the previous value of lock variable
C. By ensuring only one process can see the lock variable as 0 at a particular time
D. By ensuring the process will execute the TSL instruction only when it wants to get into the critical section

Answer: C. By ensuring only one process can see the lock variable as 0 at a particular time"
"Priority Inversion:In TSL mechanism, there can be a problem of priority inversion. Let?s say that there are two cooperative processes, P1 and P2. The priority of P1 is 2 while that of P2 is 1. P1 arrives earlier and got scheduled by the CPU. Since it is a cooperative process and wants to execute in the critical section hence it will enter in the critical section by setting the lock variable to 1. Now, P2 arrives in the ready queue. The priority of P2 is higher than P1 hence according to priority scheduling, P2 is scheduled and P1 got preempted. P2 is also a cooperative process and wants to execute inside the critical section. Although, P1 got preempted but it the value of lock variable will be shown as 1 since P1 is not completed and it is yet to finish its critical section. P1 needs to finish the critical section but according to the scheduling algorithm, CPU is with P2. P2 wants to execute in the critical section, but according to the synchronization mechanism, critical section is with P1.This is a kind of lock where each of the process neither executes nor completes. Such kind of lock is called Spin Lock. This is different from deadlock since they are not in blocked state. One is in ready state and the other is in running state, but neither of the two is being executed.",os priority inversion in tsl,"

Easy Questions:
1. What is Priority Inversion?
2. What is the priority of P1?
3. What is the priority of P2?

Medium Questions:
1. What is the problem with the TSL mechanism?
2. What is the difference between Priority Inversion and Deadlock?
3. What is a Spin Lock?

Hard Questions:
1. How does Priority Inversion occur in the TSL mechanism?
2. How does the CPU decide which process to schedule?
3. How does the synchronization mechanism work in the TSL mechanism?

Multiple Choice Questions:
1. What is the priority of P1?
A. 1
B. 2
C. 3
D. 4

2. What is the problem with the TSL mechanism?
A. Deadlock
B. Priority Inversion
C. Spin Lock
D. Synchronization

3. What is the difference between Priority Inversion and Deadlock?
A. Priority Inversion is when two processes are in blocked state, while Deadlock is when two processes are in ready state.
B. Priority Inversion is when two processes are in ready state, while Deadlock is when two processes are in blocked state.
C. Priority Inversion is when two processes are in running state, while Deadlock is when two processes are in ready state.
D. Priority Inversion is when two processes are in running state, while Deadlock is when two processes are in blocked state."
"Turn Variable or Strict Alternation Approach:Turn Variable or Strict Alternation Approach is the software mechanism implemented at user mode. It is a busy waiting solution which can be implemented only for two processes. In this approach, A turn variable is used which is actually a lock.This approach can only be used for only two processes. In general, let the two processes be Pi and Pj. They share a variable called turn variable. The pseudo code of the program can be given as following. For Process PiFor Process PjThe actual problem of the lock variable approach was the fact that the process was entering in the critical section only when the lock variable is 1. More than one process could see the lock variable as 1 at the same time hence the mutual exclusion was not guaranteed there. This problem is addressed in the turn variable approach. Now, A process can enter in the critical section only in the case when the value of the turn variable equal to the PID of the process. There are only two values possible for turn variable, i or j. if its value is not i then it will definitely be j or vice versa. In the entry section, in general, the process Pi will not enter in the critical section until its value is j or the process Pj will not enter in the critical section until its value is i. Initially, two processes Pi and Pj are available and want to execute into critical section.The turn variable is equal to i hence Pi will get the chance to enter into the critical section. The value of Pi remains I until Pi finishes critical section.Pi finishes its critical section and assigns j to turn variable. Pj will get the chance to enter into the critical section. The value of turn remains j until Pj finishes its critical section.Analysis of Strict Alternation approach:Let's analyze Strict Alternation approach on the basis of four requirements.Mutual Exclusion:The strict alternation approach provides mutual exclusion in every case. This procedure works only for two processes. The pseudo code is different for both of the processes. The process will only enter when it sees that the turn variable is equal to its Process ID otherwise not Hence No process can enter in the critical section regardless of its turn. Progress:Progress is not guaranteed in this mechanism. If Pi doesn't want to get enter into the critical section on its turn then Pj got blocked for infinite time. Pj has to wait for so long for its turn since the turn variable will remain 0 until Pi assigns it to j. Portability:The solution provides portability. It is a pure software mechanism implemented at user mode and doesn't need any special instruction from the Operating System. ",os turn variable or strict alternation approach,"

Easy Questions:
1. What is the Turn Variable or Strict Alternation Approach?
2. What is the problem addressed in the Turn Variable approach?
3. How many processes can use the Turn Variable approach?

Medium Questions:
1. What is the pseudo code of the program for the Turn Variable approach?
2. How does the Turn Variable approach guarantee mutual exclusion?
3. What is the analysis of the Strict Alternation approach?

Hard Questions:
1. What are the advantages of the Turn Variable approach over the Lock Variable approach?
2. How does the Turn Variable approach ensure progress?
3. What are the limitations of the Turn Variable approach?

Multiple Choice Questions:
1. What is the problem addressed in the Turn Variable approach?
A. Mutual Exclusion
B. Progress
C. Portability
D. Race Condition

Answer: D. Race Condition

2. How does the Turn Variable approach guarantee mutual exclusion?
A. By using a lock variable
B. By using a turn variable
C. By using a PID
D. By using a special instruction from the Operating System

Answer: B. By using a turn variable

3. What are the limitations of the Turn Variable approach?
A. It can only be used for two processes
B. It does not guarantee progress
C. It requires a special instruction from the Operating System
D. It does not provide mutual exclusion

Answer: B. It does not guarantee progress"
